ranker,name_display,age,team_name_abbr,pos,games,games_started,mp,fg_pct,avg_dist,pct_fga_fg2a,pct_fga_00_03,pct_fga_03_10,pct_fga_10_16,pct_fga_16_xx,pct_fga_fg3a,fg_pct_fg2a,fg_pct_00_03,fg_pct_03_10,fg_pct_10_16,fg_pct_16_xx,fg_pct_fg3a,pct_ast_fg2,pct_ast_fg3,pct_fga_dunk,fg_dunk,pct_fg3a_corner3,fg_pct_corner3,fg3a_heave,fg3_heave,awards
32,Jordan Clarkson,23.0,LAL,SG,79,79,2552.0,0.433,12.6,0.709,0.261,0.195,0.106,0.149,0.291,.468,.540,.477,.379,.384,.347,0.305,0.757,0.026,23,0.191,.295,2,0,
33,Rodney Hood,23.0,UTA,SG,79,79,2541.0,0.42,16.0,0.538,0.111,0.2,0.13,0.098,0.462,.472,.611,.448,.421,.432,.359,0.206,0.752,0.012,10,0.218,.367,2,0,
34,P.J. Tucker,30.0,PHO,SF,82,80,2540.0,0.411,11.4,0.646,0.368,0.172,0.029,0.077,0.354,.455,.533,.350,.412,.333,.330,0.357,0.971,0.012,6,0.699,.340,1,0,
35,Rajon Rondo,29.0,SAC,PG,72,72,2537.0,0.454,10.9,0.783,0.344,0.207,0.046,0.185,0.217,.479,.639,.377,.306,.338,.365,0.191,0.71,0.008,5,0.341,.448,2,0,
36,Avery Bradley,25.0,BOS,SG,76,72,2536.0,0.447,16.4,0.601,0.216,0.034,0.042,0.309,0.399,.505,.718,.400,.349,.387,.361,0.647,0.912,0.025,25,0.329,.313,0,0,"DPOY-6,DEF1"
37,Carmelo Anthony,31.0,NYK,SF,72,72,2530.0,0.434,14.0,0.763,0.213,0.087,0.208,0.255,0.237,.463,.540,.404,.423,.453,.339,0.273,0.743,0.018,19,0.103,.375,1,0,AS
38,George Hill,29.0,IND,PG,74,73,2524.0,0.441,15.3,0.575,0.222,0.099,0.103,0.153,0.425,.466,.622,.397,.342,.363,.408,0.338,0.82,0.016,12,0.379,.445,0,0,
39,Tobias Harris,23.0,2TM,PF,76,74,2513.0,0.469,10.5,0.731,0.375,0.187,0.076,0.094,0.269,.518,.631,.410,.353,.417,.335,0.561,0.938,0.057,49,0.351,.310,0,0,
39,Tobias Harris,23.0,ORL,PF,49,49,1610.0,0.464,10.4,0.721,0.403,0.165,0.061,0.092,0.279,.523,.624,.427,.242,.440,.311,0.588,0.915,0.085,45,0.397,.300,0,0,
39,Tobias Harris,23.0,DET,PF,27,25,903.0,0.477,10.7,0.747,0.33,0.221,0.101,0.098,0.253,.512,.643,.390,.457,.382,.375,0.519,0.97,0.014,4,0.273,.333,0,0,
